study_words,test_words,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
vase,,0,0,0,0,,,,,16.398495400091633,16.398495400091633,1.037037037037037,1.71757430001162,,,,,,,,,,,,,043114,001,2022-12-03_08h12.24.289,Word Priming,2022.2.2,59.95894016808994,
tiger,,0,1,1,1,,,,,18.131338800070807,18.131338800070807,1.037037037037037,1.2554275998845696,,,,,,,,,,,,,043114,001,2022-12-03_08h12.24.289,Word Priming,2022.2.2,59.95894016808994,
piano,,0,2,2,4,,,,,19.413473200052977,19.413473200052977,1.037037037037037,0.9734808998182416,,,,,,,,,,,,,043114,001,2022-12-03_08h12.24.289,Word Priming,2022.2.2,59.95894016808994,
book,,0,3,3,2,,,,,20.407422500196844,20.407422500196844,1.037037037037037,1.1293233002070338,,,,,,,,,,,,,043114,001,2022-12-03_08h12.24.289,Word Priming,2022.2.2,59.95894016808994,
cushion,,0,4,4,3,,,,,21.55999860004522,21.55999860004522,1.037037037037037,0.8433652000967413,,,,,,,,,,,,,043114,001,2022-12-03_08h12.24.289,Word Priming,2022.2.2,59.95894016808994,
book,,1,0,5,2,,,,,22.425451300106943,22.425451300106943,1.037037037037037,0.7447541998699307,,,,,,,,,,,,,043114,001,2022-12-03_08h12.24.289,Word Priming,2022.2.2,59.95894016808994,
piano,,1,1,6,4,,,,,23.19162270007655,23.19162270007655,1.037037037037037,0.7622162001207471,,,,,,,,,,,,,043114,001,2022-12-03_08h12.24.289,Word Priming,2022.2.2,59.95894016808994,
vase,,1,2,7,0,,,,,23.97732190019451,23.97732190019451,1.037037037037037,0.926828800002113,,,,,,,,,,,,,043114,001,2022-12-03_08h12.24.289,Word Priming,2022.2.2,59.95894016808994,
cushion,,1,3,8,3,,,,,24.925676900194958,24.925676900194958,1.037037037037037,0.9136749000754207,,,,,,,,,,,,,043114,001,2022-12-03_08h12.24.289,Word Priming,2022.2.2,59.95894016808994,
tiger,,1,4,9,1,,,,,25.860817700158805,25.860817700158805,1.037037037037037,0.7446469001006335,,,,,,,,,,,,,043114,001,2022-12-03_08h12.24.289,Word Priming,2022.2.2,59.95894016808994,
cushion,,2,0,10,3,,,,,26.627325300127268,26.627325300127268,1.037037037037037,0.9795363999437541,,,,,,,,,,,,,043114,001,2022-12-03_08h12.24.289,Word Priming,2022.2.2,59.95894016808994,
piano,,2,1,11,4,,,,,27.628087900113314,27.628087900113314,1.037037037037037,0.7784442999400198,,,,,,,,,,,,,043114,001,2022-12-03_08h12.24.289,Word Priming,2022.2.2,59.95894016808994,
vase,,2,2,12,0,,,,,28.42907670000568,28.42907670000568,1.037037037037037,0.8287754999473691,,,,,,,,,,,,,043114,001,2022-12-03_08h12.24.289,Word Priming,2022.2.2,59.95894016808994,
book,,2,3,13,2,,,,,29.277962899999693,29.277962899999693,1.037037037037037,0.6608599000610411,,,,,,,,,,,,,043114,001,2022-12-03_08h12.24.289,Word Priming,2022.2.2,59.95894016808994,
tiger,,2,4,14,1,,,,,29.963097000028938,29.963097000028938,1.037037037037037,0.6432672999799252,,,,,,,,,,,,,043114,001,2022-12-03_08h12.24.289,Word Priming,2022.2.2,59.95894016808994,
cushion,,3,0,15,3,,,,,30.62959280004725,30.62959280004725,1.037037037037037,0.64803949999623,,,,,,,,,,,,,043114,001,2022-12-03_08h12.24.289,Word Priming,2022.2.2,59.95894016808994,
book,,3,1,16,2,,,,,31.29928980022669,31.29928980022669,1.037037037037037,0.6091547000687569,,,,,,,,,,,,,043114,001,2022-12-03_08h12.24.289,Word Priming,2022.2.2,59.95894016808994,
vase,,3,2,17,0,,,,,31.92779320012778,31.92779320012778,1.037037037037037,0.5951967998407781,,,,,,,,,,,,,043114,001,2022-12-03_08h12.24.289,Word Priming,2022.2.2,59.95894016808994,
piano,,3,3,18,4,,,,,32.54645110014826,32.54645110014826,1.037037037037037,0.5956067000515759,,,,,,,,,,,,,043114,001,2022-12-03_08h12.24.289,Word Priming,2022.2.2,59.95894016808994,
tiger,,3,4,19,1,,,,,33.162802200065926,33.162802200065926,1.037037037037037,0.46110329986549914,,,,,,,,,,,,,043114,001,2022-12-03_08h12.24.289,Word Priming,2022.2.2,59.95894016808994,
tiger,,4,0,20,1,,,,,33.64418430021033,33.64418430021033,1.037037037037037,0.3802376000676304,,,,,,,,,,,,,043114,001,2022-12-03_08h12.24.289,Word Priming,2022.2.2,59.95894016808994,
piano,,4,1,21,4,,,,,34.048185100080445,34.048185100080445,1.037037037037037,0.6457863000687212,,,,,,,,,,,,,043114,001,2022-12-03_08h12.24.289,Word Priming,2022.2.2,59.95894016808994,
cushion,,4,2,22,3,,,,,34.71433000010438,34.71433000010438,1.037037037037037,0.6117597001139075,,,,,,,,,,,,,043114,001,2022-12-03_08h12.24.289,Word Priming,2022.2.2,59.95894016808994,
book,,4,3,23,2,,,,,35.347509500104934,35.347509500104934,1.037037037037037,0.8293673999141902,,,,,,,,,,,,,043114,001,2022-12-03_08h12.24.289,Word Priming,2022.2.2,59.95894016808994,
vase,,4,4,24,0,,,,,36.197540200082585,36.197540200082585,1.037037037037037,0.7781128999777138,,,,,,,,,,,,,043114,001,2022-12-03_08h12.24.289,Word Priming,2022.2.2,59.95894016808994,
,_ia_n_,,,,,0,0,0,4,,,,,37.020455500110984,37.020455500110984,37.020455500110984,0.023445800179615617,piano,"[-0.49074074074074076, 0.006481481481481481]","[-0.30925925925925923, -0.30277777777777776]","[1, 1]","[0, 0]","[0, 0]","[1.190729800146073, 6.526108500082046]",['text_3'],043114,001,2022-12-03_08h12.24.289,Word Priming,2022.2.2,59.95894016808994,
,,,,,,,,,,,,,,43.54792790021747,43.54792790021747,43.54792790021747,0.004694900009781122,,,,,,,,,,,,,,,
